id,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SGS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FJI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.35,2,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,#N/A,#N/A,#N/A,#N/A
FIN,0.002,#N/A,#N/A,#N/A,0.002,#N/A,0.04,#N/A,0.05,10.78,0.04,38.14,0.07,0.005,0.04,0.04,0.07,0.12,1.99,1.7,38.58,6.5,0.44,1.1,1.1,1.2,6.5,4,3,2.8,4.2,3.5,25.7
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FRA,57.83,112.83,79.76,229.21,122.44,95.96,246.01,754.09,588.86,938.67,1844.61,831.45,1627.18,1720.65,4742.59,873.58,1752.7,860.6,1076,3687.02,1333.12,2096.19,3653.17,4172.9,4484.23,5185.89,10166.32,6578.59,8179.34,5176.98,4095.11,10834.86,5602
GUF,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64,9,213,3,446,25,#N/A,#N/A,74,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PYF,0.002,0.83,#N/A,#N/A,#N/A,2,12.81,1.81,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ATF,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DJI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GAB,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.14,0.3,0.26,2.81,0.12,0.09,0.02,#N/A,#N/A,0.22,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,0.11,#N/A,0.155,0.019,0.423,#N/A,#N/A
GEO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.002,#N/A,#N/A,0.002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.000558,0.00002,0.000783,#N/A,#N/A,0.0076
GMB,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.46,#N/A,#N/A,#N/A,#N/A,0.07,0.88,0.06,0.07,0.06,4.87,2,#N/A,0.11,#N/A,17.14,#N/A,27.21,#N/A,#N/A,2354.34,14.91,11.15
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DEU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,496.22,1405.87,2473.79,963.63,1334.11,1052.47,767.35,1846.02,1378.44,1721.19,1133.24,1979.1,915.6,1288,2135.72,1009.14,968.96,1078.88,1716.6,1887.5,1068.56,1707.02,3030.8,1940.58,1258.37
GHA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.74,1.4,0.76,1.39,5,3.99,6.61,17.49,0.92,5.37,0.78,6.35,5.04,7.06,#N/A,#N/A,10.4,15.37,616.68,661.2,#N/A,283.22,841.1,#N/A,30,24.52,30.66
GIB,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,0.15,0.73,#N/A,#N/A,#N/A,#N/A
KIR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GRC,0.09,#N/A,0.04,0.18,0.19,0.05,3,26.3,2.22,2.3,33.28,13.37,9.25,3.69,115.25,8.98,155.25,16.73,283.97,45.48,156.24,227.29,18.04,200.64,1151.85,42.82,60.65,255,61.05,626.62,221.98,463.42,200.7
GRL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GRD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.84,49.09,#N/A,207.46,9.19,3.53,9,7,26.5,43,103,52.17,77.32,8.5,24,16.02,21,#N/A,48,109.09,25.03,15.1,#N/A
GLP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6211,#N/A,91,66,3222,593,267,0.1,47,592,39,405,1035,301,79,991,1825,#N/A,#N/A
GUM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GTM,#N/A,0.02,2.27,5,6.92,#N/A,45.71,4.63,#N/A,3162.19,3234,15400,9500,7600,1900,956,3950.87,5098.47,9217.07,9959,1517.7,4103.37,2927.46,9193.97,4481.01,5073.69,280.4,711.07,2214.03,6936.09,1458,3960,4262.9
GIN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.22,3,0.52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.77,0.1,40,8.5,390.79,#N/A,3,#N/A,#N/A,#N/A
GUY,#N/A,#N/A,#N/A,#N/A,1.67,0.38,8.04,#N/A,#N/A,#N/A,#N/A,7,#N/A,463.01,76,51.12,91.5,167,3222,37,39,42,143,277.72,155.08,48.67,197,266,177,135.55,85,352,100.8
HTI,#N/A,#N/A,#N/A,1,#N/A,700,1,#N/A,1457,#N/A,896,302,116,#N/A,716,1357,956,2100,1272,436,594,414,272.76,45,74.9,86.3,394.82,#N/A,68,18.34,32.4,12.8,335.3
HMD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
VAT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
HND,0.02,0.01,38.67,612,1084,1.02,849,0.003,1403,13,363.52,#N/A,1500,48,930.03,408.85,3275,2187.67,1804,709,1215,717.1,79.02,5649.13,3934.75,472.71,2714.18,1812,6468,5437,7104,13904.44,2282
HKG,#N/A,#N/A,#N/A,#N/A,0.001,0.07,0.12,1.5,#N/A,0.94,#N/A,7.5,0.16,18.09,12.25,1.8,13.9,31.3,167.7,11.99,9,29.7,8.3,6.63,55.53,11.61,12.58,198.22,65.67,112.37,579.7,798.25,733.64
HUN,#N/A,#N/A,#N/A,0.24,#N/A,0.55,#N/A,0.005,#N/A,#N/A,#N/A,8.62,7.52,2.32,26.84,18.68,4.98,7,26.38,121.15,9.2,6.02,58.93,23.47,94.37,7.8,7.29,15.26,23.08,19.85,11.75,12.55,13.12
ISL,#N/A,0.005,0.001,0.02,0.02,0.02,0.008,0.53,0.1,0.75,#N/A,0.04,1.3,0.14,0.32,0.14,#N/A,#N/A,#N/A,0.96,0.94,0.26,1.87,1.19,6.16,1.14,12.84,6.47,7.72,5.39,#N/A,0.00389,5.273
IND,0.02,4.08,0.06,0.1,4.74,4.95,15.37,4.8,13.27,3,1,0.008,0.42,#N/A,1.58,40,3,24,1,1,0.35,2,2,3,6,4,206,8,12,12,22.75,13.74,44
IDN,#N/A,#N/A,#N/A,0.02,#N/A,0.001,#N/A,0.08,#N/A,0.004,#N/A,#N/A,#N/A,#N/A,4.37,0.11,0.39,3.3,4.75,0.5,17.42,30.12,2.31,28.56,6.32,1.01,1.12,0.24,0.52,0.27,0.05403,0.11697,6.73684
IRN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
IRQ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
IRL,#N/A,0.08,0.41,0.1,0.08,0.29,0.17,0.03,0.04,3,1,0.03,10,0.35,0.05,21.8,642,11.04,334.23,85.55,18.04,5.32,30.47,106.91,167.34,306.15,254.88,3369.68,1681.69,125.37,105,204.123,469.745
ISR,#N/A,#N/A,#N/A,0.66,1.02,0.16,3.72,2.4,15.93,3.7,12,13,8,11.3,24.33,14.09,73.34,43.7,99.8,28.23,11.66,23.62,96.01,80.01,18.01,159,42,36,135,63,71,264,171
ITA,52.98,63.45,104.9,223.37,73.28,111.85,129.47,329.78,616.89,667.73,801.68,1290.82,1367.34,1100.82,6656.94,2556.58,2147.35,1639.54,2143.8,2997.61,2359.7,1808.91,4039.99,3521.07,3583.51,4371.32,4623.08,3939.23,4109.77,4071.58,3836.11,6341.91,5319.32
CIV,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.43,0.05,1.28,5.54,4.2,4.32,0.43,2.33,0.13,2.86,33.15,22.03,19.01,9.29,3.44,1.05,3.15,#N/A,#N/A,0.07,0.44,11.7,1.15,0.46,2,0.99,27.35
JAM,#N/A,4,9.75,3.2,367,369.23,544.32,8.41,5.97,12.7,4335.06,#N/A,690,82.67,179,570.01,253.53,414.68,1143,2455,1656,2948,3725,1586,1735.51,142.38,109.14,98.21,265.96,2.2,178,552.59,338.23
JPN,0.02,0.02,0.03,1.24,0.01,0.14,2.12,1.66,0.21,13.73,68.8,22.5,31.56,25.99,20,36.62,37.11,25.46,20.85,10.35,15.58,23.72,16.9,2.5,85.5,2.99,9.9,19.2,5.6,11.56,7.15,28.8,6.85
KAZ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,0.04,#N/A,0.05,0.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00977,#N/A,#N/A,0.31837
JOR,#N/A,#N/A,0.14,0.001,#N/A,#N/A,1.02,#N/A,2.03,0.02,0.04,0.01,0.002,#N/A,0.007,0.02,1.1,#N/A,0.94,1.91,0.8,0.5,0.19,9,32,0.48,5.26,7.47,6.27,33.06,4.2,1.44,16.04
KEN,#N/A,#N/A,#N/A,0.02,0.02,0.12,#N/A,#N/A,#N/A,#N/A,0.05,#N/A,#N/A,0.03,0.06,0.42,3.44,0.41,1.24,0.11,4.02,0.21,18.58,3.93,1142.8,10.48,10.77,#N/A,2,9.1,23,#N/A,#N/A
PRK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KOR,#N/A,#N/A,#N/A,#N/A,0.002,#N/A,#N/A,#N/A,#N/A,#N/A,1.13,0.14,13.31,23.17,0.04,#N/A,0.77,11.22,2.08,2.25,#N/A,0.11,1.17,0.9,0.008,#N/A,4.77,0.08,8.87,0.3,#N/A,2.5,0.06
KWT,#N/A,0.03,#N/A,0.08,0.19,#N/A,0.02,0.02,0.07,0.004,#N/A,#N/A,#N/A,0.55,#N/A,0.05,0.02,0.01,0.003,#N/A,36,#N/A,0.002,4.7,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,0.083,#N/A
KGZ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LAO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.99,0.1,#N/A,#N/A,#N/A
LBN,0.67,0.48,2.74,19.06,0.48,7.18,5.98,0.15,1.11,4.41,16.77,13,142.78,291.92,111.64,12.74,166.69,4.8,11.9,32.01,0.47,7.21,7.84,40.73,11.89,23.96,8.77,3.57,62.24,16.2,169.68,66.21,27.37
LSO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.35,#N/A,0.63,#N/A,#N/A,#N/A,#N/A,#N/A,9.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LVA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,0.01,0.02,0.06,1.92,0.03,1.02,#N/A,0.62,0.64,0.68,1.12,11.9,5.16,0.44,286.16,1.32,1.07779
LBR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.29,#N/A,#N/A,3.5,#N/A,#N/A,#N/A
LBY,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3,#N/A,#N/A,#N/A,0.14,0.7,20.7,0.53,0.36,2.06,0.01,0.15,0.04,5.6,#N/A,#N/A,#N/A,#N/A,#N/A
LIE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LTU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.72,1.06,2.05,10.13,0.28,1.84,0.13,0.73,0.18,13.45,0.7,3.12,1.18,40.88,6.13,403.64,9.77,120
LUX,2.29,0.01,#N/A,#N/A,2.93,27.27,7.16,23,4.58,21.41,24.26,14.22,12.09,15.95,15.46,0.52,12.89,8.98,6,0.33,10.76,#N/A,2.49,11.15,4.48,1.19,3.82,3.46,5.52,0.88,3.26,24.44,24.44
MAC,#N/A,#N/A,0.46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.008,#N/A,0.03,0.001,0.23,0.005,0.02,#N/A,0.06,0.06,0.59116,5.61,1.16805
MDG,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MWI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.5,1.2,#N/A,0.25,#N/A,20.28,2.39,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MYS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.02,#N/A,2.5,0.05,5.1,2.22,10.12,7.1,18.6,20.57,3.52,7
MDV,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MLI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.02,#N/A,4.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,#N/A,2.4,#N/A,1.5,19.82,#N/A,4.8
MLT,#N/A,#N/A,#N/A,#N/A,#N/A,0.03,#N/A,#N/A,0.002,0.85,#N/A,5.19,0.009,1.03,0.38,0.16,0.17,0.3,0.06,1.37,0.03,2.54,4.54,3.72,0.15,6.4,4.27,9.52,21.14,16,4.24,5.36,142.86
MTQ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,37,46,36,15,9,63,1170,161,1792,6295,2290,1770,703,406,#N/A,#N/A
MRT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.3,#N/A,0.29,#N/A,#N/A,#N/A,0.02,0.04,#N/A,0.33,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MUS,0.005,#N/A,#N/A,#N/A,#N/A,0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.15,0.0004,#N/A,#N/A,#N/A,#N/A,#N/A
MEX,29,46,399,324,458,2562.7,5323.4,9296.4,15363,39523.08,49879.52,50268.78,38831.68,45834.6,22116.51,22707.68,23833.2,34952.71,22597.07,34622.6,23195.94,29988.53,12639.01,21105.81,26843.6,30226.91,21336.65,48168.03,19333.04,21631.87,9892.92,10267.24,3092.87
MCO,#N/A,#N/A,0.001,0.001,0.001,0.02,0.003,0.002,0.11,0.007,0.002,2.3,#N/A,#N/A,0.006,0.02,0.003,0.001,0.01,0.06,0.001,#N/A,0.0096,0.0002,#N/A,0.0014,0.001,#N/A,0.00971,0.00174,#N/A,#N/A,#N/A
MNG,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.8,#N/A,0.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.2,#N/A,#N/A,#N/A,#N/A
MDA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00112,#N/A,#N/A,0.05,0.98,#N/A,#N/A,5.55,5.96,#N/A,#N/A,0.115
MNE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.07,0.41,7.74,1.42,4,0.3389,0.4
MSR,#N/A,#N/A,#N/A,0.007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,60,0.06,#N/A,0.13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.05,#N/A,0.0065,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MAR,#N/A,8,#N/A,0.01,#N/A,0.09,#N/A,20.89,3.54,4.42,22.28,16.95,5.47,0.48,2.32,6.29,91.2,6055.55,30.11,1.74,0.9,4.3,15.8,2.59,4,843.05,53.66,248.78,33.79,22.8,73.42,57.09,23.53
MOZ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.13,0.38,0.1,0.01,#N/A,15,#N/A,21.8,2.02,#N/A,5.55,5.96,3.78,4.69,#N/A
OMN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NAM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.6,#N/A,0.6,5.95,23.93,2.11,#N/A,0.09,3.04,0.19,0.06,15.49,0.2,0.91,32.48,#N/A,#N/A,#N/A,#N/A,2.45
NRU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NPL,#N/A,#N/A,#N/A,#N/A,1,#N/A,#N/A,18.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NLD,46.42,10,37.3,59,180,124.9,274.12,405.95,517.12,1424.58,4288,2492,3433,3720,8200,4851,9222,11495,8998,10361,6472,8382,7968,17560,12387,14603,10584.1,10478,6757,4934,10020.99,10089.63998,10000
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,203.74,483.12,113.78,151,95,146.38,153,203,408.31,794,465,346,266,490.68,1,274.01,598.2,29.84,#N/A,144,73,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NCL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
VUT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
